tt_num,ccat_before,ccat_after,symp_before,symp_after,cc_before,cc_after,rc_before,rc_after
1-10752890545,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Modem&PG_Replaced
1-10752895473,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Advise Customer
1-10752933705,null,RIGHT WHEN TESTED,Jerks/Pixel_All LiveTV,Jerks/Pixel_All LiveTV,null,RWT END-END,null,RWT CUSTOMER SATISFIED
1-10752934305,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Patching,null,FDC_Change Port
1-10752958025,null,Access Network,Jerks/Pixel_All LiveTV,Jerks/Pixel_All LiveTV,null,EQMT_VLAN problem,null,Port Reset
1-10752963165,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_IW_RJ11 Faulty,null,TM_CPE_IW_RJ11 Repaired
1-10752968920,null,Customer,No Dial Tone,No Dial Tone,null,Customer_IW Copper,null,Advise Customer
1-10752981656,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10752996155,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10753000563,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem_Hang,null,VDSL_Reset
1-10753000615,null,BTU,Engage tone,Engage tone,null,VDSL_Modem_Hang,null,VDSL_Reset
